Anglicky;Česky
abate;polevit, zmírnit
aberration;odchylka, úchylka
abhor;nenávidět, štítit se
abiding;trvalý, stálý
absolve;zprostit viny, odpustit
abstain;zdržet se (hlasování), abstinovat
abstentions;zdržení se (hlasování)
abstruse;nesrozumitelný, těžko pochopitelný
accentuate;zdůraznit
acclaimed;uznávaný, vychvalovaný
accede;přistoupit, vyhovět
accolade;pocta, vyznamenání
accredit;akreditovat, pověřit
accreditation;akreditace
accrue;narůstat, vznikat (úroky)
acerbic;kousavý, trpký
acquiescence;tichý souhlas, podvolení se
acquiesce;podvolit se, tiše souhlasit
acquit;zprostit viny
acrimonious;jízlivý, zahořklý
acrimony;zahořklost, jízlivost
acuity;bystrost, ostrost
adamant;neoblomný
adherence;dodržování, lpění
admittance;vstup, přijetí
admonish;napomenout, varovat
adroit;obratný, šikovný
afflatus;vnuknutí, inspirace
affinity;spřízněnost, afinita
alacrity;dychtivost, ochota
albeit;ačkoliv
alleviate;zmírnit, ulehčit
allude;narážet (na něco), zmiňovat
aloof;odtažitý, rezervovaný
altruistic;altruistický, nezištný
amenable;přístupný, ochotný
ambivalent;rozpolcený, ambivalentní
ambrosial;božský, lahodný
ameliorate;zlepšit
anachronistic;zastaralý, přežitý
analogous;obdobný, analogický
animosity;nepřátelství, zášť
annum;rok (latinsky)
anomaly;anomálie, odchylka
antagonize;znepřátelit si, popudit
antipathy;antipatie, odpor
antiquated;zastaralý
antiquity;starověk, starožitnost
antithesis;protiklad, antiteze
apathetic;apatický, lhostejný
apostle;apoštol
appease;uklidnit, devít
apprehensive;znepokojený, obavající se
arduous;náročný, obtížný
arguably;pravděpodobně, zřejmě
ascertain;zjistit, ověřit
assiduous;pilný, vytrvalý
assuage;zmírnit, utišit
astute;prozíravý, mazaný
auspicious;příznivý, nadějný
austere;strohý, přísný
avarice;chamtivost, lakota
axiomatic;samozřejmý, nezpochybnitelný
backlash;odpor, prudká reakce
bad blood;zlá krev, nepřátelství
baleful;zlověstný, škodlivý
banal;banální, všední
bear up;držet se, nepovolit
belie;popírat, vyvracet
bellicose;bojovný, útočný
belligerent;agresivní, válčící
benevolent;shovívavý, laskavý
bequeath;odkázat (majetek)
bequest;odkaz, dědictví
berate;vynadat, vyplísnit
beset;sužovat, obklíčit
besotted;poblázněný, zaslepený láskou
betrayal;zrada
bewitching;okouzlující
bilateral;oboustranný
billow;dmout se, vlnit se
bite the bullet;přemoct se, kousnout do kyselého jablka
boisterous;bouřlivý, hlučný
bombastic;bombastický, nabubřelý
brusque;strohý, příkrý
cacophony;kakofonie, nelibozvuk
callous;bezcitný, necitlivý
candour;upřímnost, otevřenost
capitulate;kapitulovat, vzdát se
capricious;rozmarný, náladový
cardinal;hlavní, zásadní
castigate;kritizovat, kárat
catastrophe;katastrofa
caustic;jízlivý, žíravý
censure;pokárání, kritika
chagrin;zklamání, rozmrzelost
chastise;potrestat, kárat
churlish;nevrlo, hrubý
circumspect;obezřetný
clandestine;tajný, skrytý
clemency;shovívavost, milost
clique;klika, parta
cloistered;uzavřený (v klášteře), odloučený
coalesce;spojit se, splynout
coerce;donutit, přinutit
cogent;přesvědčivý, pádný
colossal;kolosální, obrovský
commensurate;přiměřený, úměrný
compatriot;krajan
complacent;samolibý, uspokojený
complementary;doplňující, komplementární
compulsion;nutkání, donucení
conciliatory;smířlivý
condone;prominout, tolerovat
confound;zmást, uvést v úžas
conjecture;dohad, domněnka
connive;spiknout se, tiše trpět
conquest;dobytí, podmanění
consciously;vědomě
consolidation;konsolidace, upevnění
contrition;lítost, pokání
conundrum;hlavolam, hádanka
convene;svolat, shromáždit se
convergence;konvergence, sbližování
convoluted;složitý, spletitý
copious;hojný, vydatný
coquettish;koketní
cordial;srdečný, přátelský
corroborate;potvrdit, dosvědčit
covet;bažit, toužit po
craven;zbabělý
credulous;důvěřivý, naivní
culminate;vyvrcholit
culpable;vinný, trestuhodný
culprit;viník, pachatel
cunning;prokane, mazaný
cupidity;hrabivost, chamtivost
cursory;zběžný, povrchní
daft;hloupý, pošetilý
daunting;znepokojivý, odstrašující
dawdle;loudat se, lelkovat
dearth;nedostatek, nouze
debilitate;oslabit, vysílit
debunk;odhalit, vyvrátit
deceitful;podvodný, falešný
decrepit;sešlý, chatrný
decorous;slušný, vkusný
defamation;pomluva, hanobení
deference;úcta, respekt
definitive;konečný, rozhodující
deflate;vyfouknout, srazit (sebevědomí)
defunct;zaniklý, nefunkční
dehort;odrazovat
deity;božstvo
deleterious;škodlivý
deliberation;uvažování, porada
delineate;vymezit, vytyčit
deplorable;žalostný, politováníhodný
deplore;litovat, odsuzovat
derelict;opuštěný, zanedbaný
deride;zesměšňovat
despondent;skleslý, zoufalý
destitute;chudobný, bez prostředků
detachment;odstup, nestrannost
detestable;odporný, hnusný
detrimental;škodlivý, neblahý
deviation;odchylka
devious;nečestný, křivolaký
devoid;postrádající, zbavený
