English;Czech
absolutely;naprosto, absolutně
academic;akademický
access;přístup
accommodation;ubytování
account;účet, zpráva
achievement;úspěch, dosažení
act;jednat, čin
ad;reklama (zkr.)
addition;přídavek, doplnění
admire;obdivovat
admit;přiznat, připustit
advanced;pokročilý
advise;radit, poradit
afford;dovolit si (finančně)
age;věk, stárnout
aged;ve věku, starý
agent;agent, zástupce
agreement;dohoda, souhlas
ahead;vpředu, dopředu
aim;cíl, zamířit
alarm;poplach, budík
album;album
alcohol;alkohol
alcoholic;alkoholický
alternative;alternativní, alternativa
amazed;ohromený, udivený
ambition;ambice
ambitious;ambiciózní
analyse;analyzovat
analysis;analýza
announce;oznámit
announcement;oznámení
annoy;otravovat, rozčilovat
annoyed;naštvaný, podrážděný
annoying;otravný, nepříjemný
apart;od sebe, stranou
apologise;omluvit se
application;žádost, aplikace
appointment;schůzka, jmenování
appreciate;ocenit
approximately;přibližně
arrest;zatknout, zatčení
arrival;příjezd
assignment;úkol, zadání
assist;pomáhat
atmosphere;atmosféra, ovzduší
attach;připojit, připevnit
attitude;postoj, přístup
attract;přitahovat
attraction;atrakce, přitažlivost
authority;autorita, úřad
average;průměr, průměrný
award;cena, ocenění
aware;vědomý (si čeho)
backwards;dozadu, pozpátku
bake;péct
balance;rovnováha, vyvážit
ban;zákaz, zakázat
bank (river);břeh (řeky)
base;základna, založit
basic;základní
basis;základ
battery;baterie
battle;bitva
beauty;krása
bee;včela
belief;víra, přesvědčení
bell;zvonek, zvon
bend;ohnout, zatáčka
benefit;prospěch, výhoda
better;lépe, lepší
bite;kousnout, kousnutí
block;blok, zablokovat
board;deska, paluba, nastoupit
bomb;bomba
border;hranice
bother;obtěžovat, trápit se
branch;větev, pobočka
brand;značka
brave;statečný
breath;dech
breathe;dýchat
breathing;dýchání
bride;nevěsta
bubble;bublina
bury;pohřbít, zakopat
by;u, do (data), od (kým)
calm;klidný, uklidnit
campaign;kampaň
campus;areál (univerzity)
candidate;uchazeč, kandidát
cap;čepice, víčko
captain;kapitán
careless;neopatrný, nedbalý
category;kategorie
ceiling;strop
celebration;oslava
central;centrální, hlavní
centre;centrum
ceremony;obřad, ceremonie
chain;řetěz, řetězec
challenge;výzva, vyzvat
champion;šampion, mistr
channel;kanál
chapter;kapitola
charge;účtovat, poplatek, nabít
cheap;levný
cheat;podvádět, podvodník
cheerful;veselý, optimistický
chemical;chemický, chemikálie
chest;hruď, truhla
childhood;dětství
claim;tvrdit, nárokovat, nárok
clause;věta, doložka
clear;jasný, vyčistit
click;kliknout
client;klient, zákazník
climb;lézt, šplhat
close;blízko, zavřít
cloth;látka, hadr
clue;stopa, klíč (k řešení)
coach;trenér, autobus
coal;uhlí
coin;mince
collection;sbírka
coloured;barevný
combine;kombinovat, spojit
comment;komentář, komentovat
commercial;komerční, reklama
commit;spáchat (zločin), zavázat se
communication;komunikace
comparison;srovnání
competitor;konkurent, soupeř
competitive;konkurenceschopný
complaint;stížnost
complex;komplexní, složitý
concentrate;soustředit se
conclude;uzavřít, dojít k závěru
conclusion;závěr
confident;sebejistý, důvěřivý
confirm;potvrdit
confuse;zmást
confused;zmatený
connection;spojení, připojení
consequence;důsledek
consist;skládat se
consume;spotřebovat
consumer;spotřebitel
contact;kontakt, kontaktovat
container;nádoba, kontejner
content;obsah, spokojený
continuous;nepřetržitý, souvislý
contrast;kontrast, porovnat
convenient;pohodlný, vhodný
convince;přesvědčit
cool;chladný, skvělý
costume;kostým
cottage;chata, chalupa
cotton;bavlna
count;počítat
countryside;venkov
court;soud, kurt
cover;pokrýt, obal
covered;krytý, pokrytý
cream;smetana, krém
criminal;zločinec, kriminální
cruel;krutý
cultural;kulturní
currency;měna
current;současný, proud
currently;aktuálně, v současnosti
curtain;záclona, opona
custom;zvyk, clo
cut;řezat, střih
daily;denní, denně
damage;poškodit, poškození
deal;dohoda, jednat
decade;desetiletí
decorate;zdobit
deep;hluboký
define;definovat, vymezit
definite;určitý, přesný
definition;definice
deliver;doručit
departure;odjezd, odlet
despite;navzdory
destination;cíl (cesty), destinace
determine;určit, stanovit
determined;odhodlaný
development;vývoj, rozvoj
diagram;diagram
diamond;diamant
difficulty;obtížnost, potíž
direct;přímý, řídit
directly;přímo
dirt;špína, nečistota
disadvantage;nevýhoda
disappointed;zklamaný
disappointing;zklamávající
discount;sleva
dislike;nemít rád, nechuť
divide;rozdělit
documentary;dokumentární film
donate;darovat
double;dvojitý, zdvojnásobit
doubt;pochybovat, pochybnost
dressed;oblečený
drop;kapka, upustit
drum;buben
drunk;opilý
due;splatný, kvůli
dust;prach, utírat prach
duty;povinnost, clo
earthquake;zemětřesení
eastern;východní
economic;ekonomický
economy;ekonomika
edge;okraj, hrana
editor;editor, redaktor
educate;vzdělávat
educated;vzdělaný
educational;vzdělávací
effective;účinný, efektivní
effectively;účinně, efektivně
effort;úsilí, snaha
election;volby
element;prvek
embarrassed;zahanbený, v rozpacích
embarrassing;trapný
emergency;nouzový stav
emotion;emoce
employment;zaměstnání
empty;prázdný
encourage;povzbudit
enemy;nepřítel
engaged;zasnoubený, zaneprázdněný
engineering;inženýrství, strojírenství
entertain;bavit, pohostit
entertainment;zábava
entrance;vchod
entry;vstup, záznam
environmental;environmentální, ekologický
episode;epizoda
equal;rovný, stejný
equally;stejně, rovným dílem
escape;únik, uniknout
essential;zásadní, nezbytný
eventually;nakonec
examine;zkoumat, vyšetřit
except;kromě
exchange;výměna, vyměnit
excitement;vzrušení, nadšení
exhibition;výstava
expand;rozšířit
expected;očekávaný
expedition;expedice
experience;zkušenost
experienced;zkušený
experiment;experiment
explode;vybuchnout
explore;prozkoumat
explosion;exploze, výbuch
export;export, vyvážet
extra;navíc, dodatečný
face;čelit, tvář
fairly;docela, spravedlivě
familiar;známý
fancy;mít chuť na, líbit se (fáze), ozdobný
far;daleko
fascinating;fascinující
fashionable;módní
fasten;zapnout, upevnit
favour;laskavost, preference
fear;strach, bát se
feature;rys, vlastnost, představit
fence;plot
fighting;bojování
file;soubor, spis
financial;finanční
fire;oheň, vyhodit (z práce)
fitness;kondice, fitness
fixed;opravený, pevný
flag;vlajka
flood;záplava
flour;mouka
flow;proudit, tok
fold;složit, záhyb
folk;lidový, lidé
following;následující
force;síla, nutit
forever;navždy
frame;rám
freeze;zmrazit, mrznout
frequently;často
friendship;přátelství
frighten;vylekat
frightened;vyděšený
frightening;děsivý
frozen;zmrzlý
fry;smažit
fuel;palivo
function;funkce
fur;srst, kožešina
further;dále, další
garage;garáž
gather;shromáždit se
generally;obecně
generation;generace
generous;štědrý
gentle;jemný, mírný
gentleman;gentleman, pán
ghost;duch
giant;obr, obrovský
glad;rád
global;globální
glove;rukavice
go;jít, jet
goods;zboží
grade;stupeň, známka
graduate;absolvent, vystudovat
grain;zrno, obilí
grateful;vděčný
growth;růst
guard;stráž, hlídat
guilty;vinen
hand;předat, ruka
hang;viset, pověsit
happiness;štěstí
hardly;sotva
