English;Czech
a/an;nějaký/nějaká/nějaké (neurčitý člen)
about;o, kolem
above;nad
across;přes, napříč
action;akce, činnost
activity;aktivita, činnost
actor;herec
actress;herečka
add;přidat
address;adresa
adult;dospělý
advice;rada
afraid;bát se, mít strach
after;po
afternoon;odpoledne
again;znovu
age;věk
ago;před (časově)
agree;souhlasit
air;vzduch
airport;letiště
all;všechny, všechno
also;také
always;vždy, stále
amazing;úžasný, ohromný
and;a
angry;rozzlobený
animal;zvíře
another;další, jiný
answer;odpovědět, odpověď
any;jakýkoli, žádný
anyone;kdokoli, nikdo
anything;cokoli, nic
apartment;byt
apple;jablko
April;duben
area;oblast, plocha
arm;paže
around;kolem
arrive;přijet, dorazit
art;umění
article;článek
artist;umělec
as;jako, když
ask;zeptat se, požádat
at;u, na, v
August;srpen
aunt;teta
autumn;podzim
away;pryč
baby;miminko
back;záda, zpět
bad;špatný
bag;taška, pytel
ball;míč
banana;banán
band;kapela, pásek
bank (money);banka
bath;vana, koupel
bathroom;koupelna
be;být
beach;pláž
beautiful;krásný
because;protože
become;stát se
bed;postel
bedroom;ložnice
beer;pivo
before;před
begin;začít
beginning;začátek
behind;za (místně)
believe;věřit
below;pod
best;nejlepší
better;lepší
between;mezi
bicycle;jízdní kolo
big;velký
bike;kolo
bill;účet, bankovka
bird;pták
birthday;narozeniny
black;černý
blog;blog
blonde;blond
blue;modrý
boat;loď
body;tělo
book;kniha, rezervovat
boot;kozačka, bota, kufr auta
bored;znuděný
boring;nudný
born;narozený
both;oba, obě
bottle;láhev
box;krabice
boy;chlapec
boyfriend;přítel (kluk)
bread;chléb
break;zlomit, přestávka
breakfast;snídaně
bring;přinést
brother;bratr
brown;hnědý
build;stavět
building;budova
bus;autobus
business;podnikání, obchod
busy;zaneprázdněný
but;ale
butter;máslo
buy;koupit
by;u, od (kým), do (kdy)
bye;ahoj (na rozloučenou)
cafe;kavárna
cake;dort, koláč
call;volat, hovor
camera;fotoaparát
can;umět, moci
cannot;nemoci, neumět
capital;hlavní město, kapitál
car;auto
card;karta, pohlednice
career;kariéra
carrot;mrkev
carry;nést, nosit
cat;kočka
CD;CD (kompaktní disk)
cent;cent
centre;centrum
century;století
chair;židle
change;změnit, změna
chart;graf, tabulka
cheap;levný
check;zkontrolovat, kontrola
cheese;sýr
chicken;kuře, kuřecí maso
child;dítě
chocolate;čokoláda
choose;vybrat
cinema;kino
city;město
class;třída, hodina
classroom;třída (místnost)
clean;čistý, uklidit
climb;šplhat, lézt
clock;hodiny
close;zavřít, blízko
clothes;oblečení
club;klub
coat;kabát
coffee;káva
cold;studený, chladný
college;vysoká škola, kolej
colour;barva
come;přijít, přijet
common;společný, běžný
company;společnost, firma
compare;porovnat
complete;dokončit, kompletní
computer;počítač
concert;koncert
conversation;rozhovor
cook;vařit, kuchař
cooking;vaření
cool;chladný, skvělý
correct;správný, opravit
cost;cena, stát (o ceně)
could;mohl (min. od *can*)
country;země, venkov
course;kurz, chod (jídla)
cousin;bratranec, sestřenice
cow;kráva
cream;krém, smetana
create;vytvořit
culture;kultura
cup;šálek, hrnek
customer;zákazník
cut;řezat, krájet, střih
dad;táta
dance;tančit, tanec
dancer;tanečník
dancing;tančení
dangerous;nebezpečný
dark;tmavý, tma
date;datum, schůzka
daughter;dcera
day;den
dear;drahý (oslovení)
December;prosinec
decide;rozhodnout se
delicious;lahodný, výborný
describe;popsat
description;popis
design;navrhnout, design
desk;stůl (pracovní)
detail;detail, podrobnost
dialogue;dialog
dictionary;slovník
die;zemřít
diet;dieta
difference;rozdíl
different;jiný, rozdílný
difficult;obtížný, těžký
dinner;večeře
dirty;špinavý
discuss;diskutovat
dish;pokrm, talíř
do;dělat
doctor;lékař
dog;pes
dollar;dolar
door;dveře
down;dolů
downstairs;dole, po schodech dolů
draw;kreslit
dress;šaty, obléknout
drink;pít, nápoj
drive;řídit
driver;řidič
during;během
DVD;DVD
each;každý
ear;ucho
early;brzy, časný
east;východ
easy;snadný
eat;jíst
egg;vejce
eight;osm
eighteen;osmnáct
eighty;osmdesát
elephant;slon
eleven;jedenáct
else;jiný, další
email;e-mail
end;konec, skončit
enjoy;užívat si
enough;dost
euro;euro
even;dokonce, i
evening;večer
event;událost
