Anglicky;Česky
abandon;opustit
absolute;absolutní
absorb;absorbovat, pohltit
abstract;abstraktní
academic;akademický
accent;přízvuk
acceptable;přijatelný
accidentally;náhodou
accommodate;ubytovat, vyhovět
accommodation;ubytování
accompany;doprovázet
accomplish;dosáhnout, dokončit
account;účet, zpráva
accountant;účetní
accuracy;přesnost
accurate;přesný
accurately;přesně
accuse;obvinit
acknowledge;uznat, potvrdit
acquire;získat, nabýt
acre;akr (plošná míra)
activate;aktivovat
actual;skutečný
adapt;přizpůsobit se, adaptovat
addiction;závislost
additional;dodatečný
additionally;navíc, kromě toho
address;adresa, oslovit, řešit
adequate;adekvátní, dostatečný
adequately;adekvátně, dostatečně
adjust;nastavit, přizpůsobit
administration;správa, administrativa
adopt;adoptovat, přijmout
advance;pokrok, postup, záloha
affair;aféra, záležitost
affordable;cenově dostupný
afterwards;poté, následně
aged;starý, zestárlý
agency;agentura
agenda;program (jednání)
aggressive;agresivní
agriculture;zemědělství
aid;pomoc
AIDS;AIDS
aircraft;letadlo
alarm;poplach, alarm
alien;mimozemšťan, cizí
alongside prep;vedle, podél
alter;změnit
altogether;celkem, úplně
ambitious;ambiciózní
ambulance;sanitka
amount;množství
amusing;zábavný
analyst;analytik
ancestor;předek
anger;hněv, naštvat
angle;úhel
animation;animace
anniversary;výročí
annual;roční
annually;ročně
anticipate;předvídat, očekávat
anxiety;úzkost
anxious;úzkostný, dychtivý
apology;omluva
apparent;zřejmý
apparently;zjevně
appeal;odvolání, apelovat
applicant;žadatel
approach;přístup, přiblížit se
appropriate;vhodný
appropriately;vhodně
approval;schválení
approve;schválit
arise;vzniknout
armed;ozbrojený
arms;zbraně, paže
arrow;šíp, šipka
artificial;umělý
artistic;umělecký
artwork;umělecké dílo
ashamed;stydět se
aspect;aspekt, hledisko
assess;posoudit, odhadnout
assessment;posouzení, hodnocení
asset;aktivum, majetek
assign;přidělit, zadat
assistance;pomoc
associate;spojit, spolupracovník
associated;spojený, přidružený
association;sdružení
assume;předpokládat
assumption;předpoklad
assure;ujistit
astonishing;úžasný, ohromující
athletic;atletický
attachment;příloha, připoutání
attempt;pokus, pokusit se
audio;zvuk, audio
awareness;povědomí
awkward;neohrabaný, trapný
back;záda, zpět
bacteria;bakterie
badge;odznak
balanced;vyvážený
ballet;balet
balloon;balónek
bar;bar, tyč
barely;sotva
bargain;výhodná koupě, smlouvat
barrier;bariéra
basement;suterén
basically;v zásadě, prostě
basket;koš
bat;netopýr, pálka
battle;bitva
bear (deal with);snášet, nést
beat;porazit, bít, rytmus
beg;žebrat, prosit
being;bytost, existence
beneficial;prospěšný
bent;ohnutý, sklon
beside prep;vedle
besides prep;kromě, navíc
bet;sázka, vsadit
beyond;za, mimo
bias;zaujatost, předpojatost
bid;nabídka, nabízet
bill;účet, bankovka, návrh zákona
biological;biologický
bitter;hořký
blame;vina, vinit
blanket;deka
blind;slepý
blow;rána, foukat
bold;odvážný, tučný (písmo)
bombing;bombardování
bond;pouto, dluhopis
boost;podpora, zvýšit
border;hranice
bound;vázaný, hranice
breast;prsa
brick;cihla
brief;krátký
briefly;krátce
broad;široký
broadcast;vysílání, vysílat
broadcaster;hlasatel, vysílatel
broadly;zeširoka, obecně
buck;dolar (slang.), kozel
budget;rozpočet
bug;brouk, chyba (v programu)
bullet;kulka
bunch;trs, parta
burn;hořet, spálit
bush;keř
but (prep);kromě
cabin;kabina, chata
cable;kabel
calculate;vypočítat
canal;kanál
cancel;zrušit
cancer;rakovina
candle;svíčka
capable;schopný
capacity;kapacita
capture;zajmout, zachytit
carbon;uhlík
cast;obsazení, hodit
castle;hrad
casual;neformální, příležitostný
catch;chytit
cave;jeskyně
cell;buňka, cela
certainty;jistota
certificate;certifikát
chain;řetěz
chair;židle, předsedat
chairman;předseda
challenge;výzva, vyzvat
challenging;náročný
championship;mistrovství
characteristic;charakteristický, rys
charming;okouzlující
chart;graf
chase;honička, honit
cheek;tvář, drzost
cheer;povzbudit, jásat
chief;hlavní, šéf
chop;sekat, kotleta
circuit;okruh
circumstance;okolnost
cite;citovat
citizen;občan
civil;občanský
civilization;civilizace
clarify;objasnit
classic;klasický, klasika
classify;klasifikovat
cliff;útes
clinic;klinika
clip;klip, připnout
close;zavřít, blízko
closely;zblízka, úzce
coincidence;náhoda
collapse;kolaps, zhroutit se
collector;sběratel
colony;kolonie
colourful;barevný
combination;kombinace
comfort;pohodlí, utěšit
comic;komický, komiks
command;příkaz, velet
commander;velitel
commission;provize, komise
commitment;závazek
committee;výbor
commonly;běžně
comparative;srovnávací
completion;dokončení
complex;komplexní, složitý
complicated;komplikovaný
component;součástka
compose;složit (hudbu, text)
composer;skladatel
compound;sloučenina, směs
comprehensive;komplexní, obsáhlý
comprise;zahrnovat, skládat se z
compulsory;povinný
concentration;koncentrace
concept;koncept
concern;obava, týkat se
concerned;znepokojený
concrete;beton, konkrétní
conduct;chování, vést
confess;přiznat se
confidence;důvěra
conflict;konflikt
confusing;matoucí
confusion;zmatek
conscious;vědomý
consequently;následně
conservation;ochrana (přírody)
conservative;konzervativní
considerable;značný
considerably;značně
consideration;ohled, úvaha
consistent;konzistentní, shodný
consistently;konzistentně, důsledně
conspiracy;konspirace
constant;neustálý
constantly;neustále
construct;konstruovat
construction;konstrukce
consult;poradit se
consultant;konzultant
consumption;spotřeba
contemporary;současný
contest;soutěž
contract;smlouva, stáhnout se
contribute;přispět
contribution;příspěvek
controversial;kontroverzní
controversy;kontroverze
convenience;pohodlí
convention;konvence, sjezd
conventional;konvenční
